ps -U root -eo euser,pri,%cpu,vsz,%mem --sort -%mem

OUTPUT
    EUSER    PRI %CPU    VSZ %MEM
    root      19  0.7 126988  2.3
    usuario   19  0.0 183200  1.3
    usuario   19  0.0 213760  1.3
    usuario   19  0.0 206884  1.3
    usuario   19  0.0 151592  0.9
    usuario   19  0.0 172964  0.7
    usuario   19  0.0 147572  0.7
    usuario   19  0.0 157828  0.6
    usuario   19  0.0 158732  0.6
    usuario   19  0.0 121664  0.5
    usuario   19  0.0 126052  0.3
    root      19  0.0  62036  0.3
    usuario   19  0.0  73320  0.3
    root      19  0.0  76020  0.3
    usuario   19  0.0 152828  0.3
    root      19  0.0  55968  0.3
    usuario   19  0.0  68736  0.3
    root      19  0.0  57400  0.3
    usuario   19  0.0  64400  0.2
    usuario   19  0.0  49468  0.2
    usuario   19  0.0  58060  0.2
    root      19  0.0   9964  0.2
    usuario   19  0.0  21652  0.2
    usuario   19  0.0  14784  0.1
    usuario   19  0.0  42232  0.1
    usuario   19  0.0  44320  0.1
    root      19  0.0  52776  0.1
    root      19  0.0  21528  0.1
    usuario   19  0.0  40776  0.1
    usuario   19  0.0  40160  0.1
    usuario   19  0.0  16960  0.1
    101       19  0.0  29932  0.1
    usuario   19  0.0  30072  0.1
    root      19  0.0  21524  0.1
    root      19  0.0  21524  0.1
    root      19  0.0  16260  0.0
    root      19  0.0  16260  0.0
    root      19  0.0  16260  0.0
    root      19  0.0  16260  0.0
    root      19  0.0  16260  0.0
    root      19  0.0  16260  0.0
    root      19  0.0  35468  0.0
    root      19  0.0  20384  0.0
    root      19  0.0  10652  0.0
    root      19  0.0  47416  0.0
    usuario   19  0.0  14556  0.0
    usuario   19  0.0   4184  0.0
    root      19  0.0   4120  0.0
    usuario   19  0.0  24192  0.0
    usuario   19  0.0   5620  0.0
    root      19  0.0  15200  0.0
    root      19  0.0      0  0.0
    root      19  0.6      0  0.0
    root     139  0.0      0  0.0
    root     139  0.0      0  0.0
    root      39  0.0      0  0.0
    root      39  0.0      0  0.0
    root      19  0.0      0  0.0
    root      39  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      39  0.0      0  0.0
    root      39  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      14  0.0      0  0.0
    root       0  0.0      0  0.0
    root      19  0.0      0  0.0
    root      39  0.0      0  0.0
    root      39  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      39  0.0      0  0.0
    root      39  0.0      0  0.0
    root      39  0.0      0  0.0
    root      19  0.1      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
    root      19  0.0      0  0.0
